Team1,Score1,Score2,Team2,Year
Six nations 2017
Scotland,27,22,Ireland,2017
England,19,16,France,2017
Italy,7,33,Wales,2017
Italy,10,63,Ireland,2017
Wales,16,21,England,2017
France,22,16,Scotland,2017
Scotland,29,13,Wales,2017
Ireland,19,9,France,2017
England,36,15,Italy,2017
Wales,22,9,Ireland,2017
Italy,18,40,France,2017
England,61,21,Scotland,2017
Scotland,29,0,Italy,2017
France,20,18,Wales,2017
Ireland,13,9,England,2017
France,23,21,Italy,2016
Scotland,9,15,England,2016
Ireland,16,16,Wales,2016
France,10,9,Ireland,2016
Wales,27,23,Scotland,2016
Italy,9,40,England,2016
Wales,19,10,France,2016
Italy,20,36,Scotland,2016
England,21,10,Ireland,2016
Ireland,58,15,Italy,2016
England,25,21,Wales,2016
Scotland,29,18,France,2016
Wales,67,14,Italy,2016
Ireland,35,25,Scotland,2016
France,21,31,England,2016
Wales,16,21,England,2015
Italy,3,26,Ireland,2015
France,15,8,Scotland,2015
England,47,17,Italy,2015
Ireland,18,11,France,2015
Scotland,23,26,Wales,2015
Scotland,19,22,Italy,2015
France,13,20,Wales,2015
Ireland,19,9,England,2015
Wales,23,16,Ireland,2015
England,25,13,Scotland,2015
Italy,0,29,France,2015
Italy,20,61,Wales,2015
Scotland,10,40,Ireland,2015
England,55,35,France,2015
Wales,23,15,Italy,2014
France,26,24,England,2014
Ireland,28,6,Scotland,2014
Ireland,26,3,Wales,2014
Scotland,0,20,England,2014
France,30,10,Italy,2014
Wales,27,6,France,2014
Italy,20,21,Scotland,2014
England,13,10,Ireland,2014
Ireland,46,7,Italy,2014
Scotland,17,19,France,2014
England,29,18,Wales,2014
Italy,11,52,England,2014
Wales,51,3,Scotland,2014
France,20,22,Ireland,2014
Wales,22,30,Ireland,2013
England,38,18,Scotland,2013
Italy,23,18,France,2013
Scotland,34,10,Italy,2013
France,6,16,Wales,2013
Ireland,6,12,England,2013
Italy,9,26,Wales,2013
England,23,13,France,2013
Scotland,12,8,Ireland,2013
Scotland,18,28,Wales,2013
Ireland,13,13,France,2013
England,12,3,Italy,2013
Italy,22,15,Ireland,2013
Wales,30,3,England,2013
France,23,16,Scotland,2013
France,30,12,Italy,2012
Scotland,6,13,England,2012
Ireland,21,23,Wales,2012
Italy,15,19,England,2012
France,17,17,Ireland,2012
Wales,27,13,Scotland,2012
Ireland,42,10,Italy,2012
England,12,19,Wales,2012
Scotland,17,23,France,2012
Wales,24,3,Italy,2012
Ireland,32,14,Scotland,2012
France,22,24,England,2012
Italy,13,6,Scotland,2012
Wales,16,9,France,2012
England,30,9,Ireland,2012
